OID_,OBJECTID,Island,NAVD88,Category,Random,Latitude,Longitude
36,37,Peddocks,5.493,Cultural,0.000000000000000,42.290940213100001,-70.936786934200001
37,38,Peddocks,6.074,Cultural,0.000000000000000,42.291093051200001,-70.936643203000003
38,39,Peddocks,6.079,Cultural,0.000000000000000,42.291126277300002,-70.936616254200004
39,40,Peddocks,6.577,Cultural,0.000000000000000,42.291265825000004,-70.936553371900004
40,41,Peddocks,6.667,Cultural,0.000000000000000,42.291345567500002,-70.936526422000000
41,42,Peddocks,4.010779858,Cultural,0.000000000000000,42.292980248200003,-70.936355742800004
42,43,Peddocks,5.715,Cultural,0.000000000000000,42.291817369500002,-70.936274893999993
43,44,Peddocks,5.897,Cultural,0.000000000000000,42.291883820300001,-70.936247945100007
44,45,Peddocks,3.626,Cultural,0.000000000000000,42.292807479399997,-70.936005399799996
45,46,Gallops,4.273,Cultural,0.000000000000000,42.326375602900001,-70.936652186100005
46,47,Peddocks,2.482359886,Cultural,0.000000000000000,42.298661433200003,-70.934388432299997
47,48,Peddocks,2.485729933,Cultural,0.000000000000000,42.298568411500000,-70.934154870699999
48,49,Peddocks,4.346250057,Cultural,0.000000000000000,42.301910440800000,-70.933615881199998
49,50,Lovells,5.616930008,Cultural,0.000000000000000,42.325983756600003,-70.924533913499999
50,51,Lovells,6.506929874,Cultural,0.000000000000000,42.326515072600003,-70.924318317699999
51,52,Lovells,2.960949898,Cultural,0.000000000000000,42.326329112800003,-70.924875272999998
52,53,Lovells,2.176160097,Cultural,0.000000000000000,42.329125097099997,-70.929250068800002
53,54,Georges,2.841289997,Cultural,0.000000000000000,42.319481415299997,-70.930067535099994
54,55,Lovells,3.872,Cultural,0.000000000000000,42.327962885600002,-70.927094111900004
55,56,Georges, ,Cultural,0.000000000000000,42.320198764499999,-70.929447697699999
56,57,Georges, ,Cultural,0.000000000000000,42.321002452700000,-70.929115320899996
57,58,Georges, ,Cultural,0.000000000000000,42.319687321600000,-70.928782944800005
58,59,Georges, ,Cultural,0.000000000000000,42.318305741000003,-70.928720062500005
59,60,Peddocks,22.09860039,Cultural,0.000000000000000,42.302123049099997,-70.927929544799994
60,61,Georges, ,Cultural,0.000000000000000,42.321633439499998,-70.928504467600007
61,62,Georges, ,Cultural,0.000000000000000,42.317827495099998,-70.928190056500000
62,63,Georges, ,Cultural,0.000000000000000,42.319049673199999,-70.928100225700007
63,64,Peddocks,3.045,Cultural,0.000000000000000,42.299897272099997,-70.927255808900000
64,65,Lovells,13.208,Cultural,0.000000000000000,42.329058685200003,-70.926824617799994
65,66,Georges, ,Cultural,0.000000000000000,42.318617928000002,-70.927094111499997
66,67,Georges, ,Cultural,0.000000000000000,42.318777341900002,-70.926671904200006
67,68,Lovells,3.746,Cultural,0.000000000000000,42.333136220699998,-70.930876019699994
68,69,Lovells,6.451,Cultural,0.000000000000000,42.333076454500002,-70.931118564100004
69,70,Lovells,0.659,Cultural,0.000000000000000,42.330347056000001,-70.930462793900006
70,71,Lovells,1.643,Cultural,0.000000000000000,42.332385815099997,-70.930166350500002
71,72,Great Brewster,3.227050066,Cultural,0.000000000000000,42.331037717599997,-70.897288011399993
72,73,Calf,9.054,Cultural,0.000000000000000,42.339457869699999,-70.897207163100006
73,74,Calf,9.145,Cultural,0.000000000000000,42.339497710600000,-70.897036482499999
74,75,Great Brewster,30.77960014,Cultural,0.000000000000000,42.333773727000001,-70.895697992500004
75,76,Little Brewster,3.311,Cultural,0.000000000000000,42.327942962000002,-70.891556759500006
76,77,Little Brewster,3.828,Cultural,0.000000000000000,42.328162123399999,-70.891224382499999
77,78,Little Brewster,5.404,Cultural,0.000000000000000,42.327856625599999,-70.890577595500005
78,79,Little Brewster, ,Cultural,0.000000000000000,42.327942961900000,-70.890155387899995
79,80,Little Brewster,6.135,Cultural,0.000000000000000,42.328221894599999,-70.890146404199996
80,81,Little Brewster,8.364,Cultural,0.000000000000000,42.327903114199998,-70.890065555999996
81,82,Long, ,Cultural,0.000000000000000,42.324117474300003,-70.961526536999997
